***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP WAYPOINTS EXPORT
*
* VERSION= 1375249
*
**************************
2,50:08:35N,01:49:57E,67.0M,A,ABBEVILLE,|LFOI,
3,44:10:29N,00:35:26E,62.0M,A,AGEN LA GARENNE,121.300|LFBA,
4,42:06:08N,09:24:54E,58.0M,A,AGHIONE,|,
5,45:27:59N,00:09:29E,183.0M,A,AIGNES ET PUYPEROUX - MONTMORELIEN,|,
6,46:07:19N,00:57:00W,24.0M,A,AIGREFEUILLE D AUNIS,|,
7,43:42:31N,00:14:50W,81.0M,A,AIRE SUR L ADOUR,|LFDA,
8,44:41:24N,05:24:29E,520.0M,A,AIX EN DIOIS,|,
10,43:30:19N,05:22:02E,112.0M,A,AIX LES MILLES,118.750|LFMA,
11,41:55:26N,08:48:09E,6.0M,A,AJACCIO NAPOLEON BONAPARTE,118.075|LFKJ,
12,49:58:12N,02:41:33E,111.0M,A,ALBERT BRAY,119.650|LFAQ,
13,45:37:35N,06:19:44E,315.0M,A,ALBERTVILLE,|LFKA,
15,43:49:49N,02:07:28E,259.0M,A,ALBI / CASTELVERT,|,
16,43:54:48N,02:07:00E,172.0M,A,ALBI LE SEQUESTRE,|LFCI,
17,48:20:57N,07:19:48E,362.0M,A,ALBé VAL DE VILLé,|,
19,48:26:48N,00:06:30E,145.0M,A,ALENCON VALFRAMBERT,|LFOF,
20,44:04:22N,04:08:35E,204.0M,A,ALES CEVENNES,|LFMS,
21,48:09:33N,01:51:08E,126.0M,A,ALLAINES SANTILL,0.000|,
22,47:59:34N,01:29:26W,60.0M,A,AMANLIS JANZé,|,
23,45:58:47N,05:20:16E,251.0M,A,AMBERIEU,|LFXA,
24,45:30:56N,03:44:42E,563.0M,A,AMBERT LE POYET,|LFHT,
26,47:20:26N,00:56:28E,54.0M,A,AMBOISE DIERRE,|LFEF,
28,49:52:23N,02:23:13E,63.0M,A,AMIENS GLISY,|LFAY,
31,43:35:06N,00:45:51W,72.0M,A,AMOU,|,
32,47:24:26N,01:10:44W,33.0M,A,ANCENIS,|LFFI,
33,44:45:18N,01:03:54W,20.0M,A,ANDERNOS LES BAINS,|LFCD,
34,43:17:51N,00:14:12W,268.0M,A,ANDOINS,|,
35,48:10:37N,00:50:59W,127.0M,A,ANDOUILLE LE TER,|,
37,47:33:37N,00:18:44W,59.0M,A,ANGERS MARCE,124.7|LFJR,
39,45:43:46N,00:13:09E,133.0M,A,ANGOULEME BRIE CHAMPNIERS,123.15|LFBU,
42,45:55:51N,06:06:23E,464.0M,A,ANNECY MEYTHET,118.200|LFLP,
43,46:11:31N,06:16:06E,494.0M,A,ANNEMASSE,|LFLI,
45,45:12:34N,04:40:10E,384.0M,A,ANNONAY,|,
46,43:04:58N,00:27:59E,509.0M,A,ANèRES,|,
47,44:40:59N,00:15:29W,45.0M,A,ARBIS,|,
50,44:35:45N,01:06:52W,16.0M,A,ARCACHON LA TESTE DE BUCH,|LFCH,
51,45:31:00N,00:21:00W,52.0M,A,ARCHIAC,|,
52,46:41:21N,00:40:18E,130.0M,A,ARCHIGNY CHENEVELLES,|,
53,47:02:43N,06:23:20E,791.0M,A,ARC SOUS CICON,|,
54,43:18:31N,02:53:43E,43.0M,A,ARGELIERS,|,
55,48:42:34N,00:00:10E,177.0M,A,ARGENTAN,|LFAJ,
56,45:27:58N,00:23:17E,133.0M,A,ARGENTINE DGORIE,123.500|,
57,46:35:45N,01:36:04E,203.0M,A,ARGENTON SUR CREUSE,|LFEG,
58,48:16:59N,00:31:18W,126.0M,A,ARON-LES ECOTTAYS,|,
60,50:19:26N,02:48:10E,103.0M,A,ARRAS ROCLINCOURT,|LFQD,
62,43:08:48N,01:26:24E,256.0M,A,ARTIGAT - MARTIN GU AIR,|,
63,44:31:04N,05:44:10E,831.0M,A,ASPRES SUR BUECH,|LFNJ,
64,48:11:43N,00:06:06E,85.0M,A,ASSé LE RIBOUL,|,
65,47:04:41N,06:17:46E,722.0M,A,ATHOSE,|,
67,44:32:22N,04:22:18E,281.0M,A,AUBENAS ARDECHE MERIDIONALE,|LFHO,
68,44:41:43N,05:09:14E,246.0M,A,AUBENASSON,|LFJF,
69,44:32:13N,05:18:31E,1046.0M,A,AUBENASSON-FAUCON,|,
70,47:55:59N,05:52:00E,246.0M,A,AUBERGE DU MOULIN DE L ACHAT ENFONVELLE,|,
71,43:38:02N,00:46:00E,173.0M,A,AUBIET,|,
72,47:28:50N,02:23:39E,192.0M,A,AUBIGNY SUR NERE,|LFEH,
74,43:41:13N,00:36:00E,125.0M,A,AUCH LAMOTHE,|LFDH,
75,45:32:59N,00:42:00E,266.0M,A,AUGIGNAC,|,
77,43:37:30N,06:10:59E,447.0M,A,AUPS,|,
78,44:53:51N,02:25:00E,639.0M,A,AURILLAC,|LFLW,
79,47:40:00N,00:52:00E,152.0M,A,AUTHON,|,
80,46:58:16N,04:15:40E,305.0M,A,AUTUN BELLEVUE,|LFQF,
81,47:50:47N,03:29:48E,159.0M,A,AUXERRE BRANCHES,|LFLA,
82,47:00:11N,04:43:58E,414.0M,A,AUXEY DURESSES,|,
83,49:38:03N,00:52:46E,150.0M,A,AUZOUVILLE,|,
84,46:07:41N,00:41:57E,223.0M,A,AVAILLES - LIMOUZINE,|,
85,47:30:07N,03:53:54E,240.0M,A,AVALLON,|LFGE,
86,49:28:50N,04:04:30E,113.0M,A,AVAUX - LES BOURDONS,|,
87,49:06:20N,01:52:41E,136.0M,A,AVERNES,|,
89,43:54:24N,04:54:07E,38.0M,A,AVIGNON CAUMONT,122.600|LFMV,
90,43:59:46N,04:45:16E,45.0M,A,AVIGNON PUJAUT,|LFNT,
91,47:03:25N,02:38:20E,177.0M,A,AVORD,122.100|LFOA,
93,48:39:39N,01:24:21W,8.0M,A,AVRANCHES LE VAL SAINT PERE,|LFRW,
94,46:19:56N,01:02:02E,193.0M,A,AZAT LE RIS,|,
95,49:27:39N,03:50:52E,74.0M,A,AZUR,|,
