***
*
*  Exported on: 18.11.2016
*  This data is owned by Butterfly Avionics GmbH and licensed under the CC BY-NC-SA,
*  not to be used for commercial purposes. For more information on commercial licensing visit
*  
*  http://www.openaip.net/commercial-licensing
*  
*  openAIP data is not certified and must not be used for primary navigation or flight planning.
*  NEVER RELY ON OPENAIP DATA. openAIP data contains errors. Using openAIP data may
*  result in serious injury or death, use at your own risk!
*  
*  OPENAIP OFFERS THE WORK AS-IS AND MAKES NO REPRESENTATIONS OR WARRANTIES OF ANY KIND
*  CONCERNING THE WORK, EXPRESS, IMPLIED, STATUTORY OR OTHERWISE, INCLUDING, WITHOUT LIMITATION,
*  WARRANTIES OF TITLE, MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, NONINFRINGEMENT, OR
*  THE ABSENCE OF LATENT OR OTHER DEFECTS, ACCURACY, OR THE PRESENCE OF ABSENCE OF ERRORS,
*  WHETHER OR NOT DISCOVERABLE. SOME JURISDICTIONS DO NOT ALLOW THE EXCLUSION OF IMPLIED
*  WARRANTIES, SO THIS EXCLUSION MAY NOT APPLY TO YOU.
*  
*  EXCEPT TO THE EXTENT REQUIRED BY APPLICABLE LAW, IN NO EVENT WILL OPENAIP BE LIABLE TO YOU ON
*  ANY LEGAL THEORY FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES
*  ARISING OUT OF THIS LICENSE OR THE USE OF THE WORK, EVEN IF OPENAIP HAS BEEN ADVISED OF THE
*  POSSIBILITY OF SUCH DAMAGES.
*
***

**************************
*
* OPENAIP NAVAIDS EXPORT
*
* VERSION= 1371698
*
**************************
1,50:08:07N,01:51:17E,68.0M,T,ABBEVILLE,Navaid|ID:ABB|Frequency:108.45/21Y|Range:60 NM |Magnetic declination:-0.31475|Aligned to true north:FALSE
2,43:53:16N,00:52:22E,265.0M,T,AGEN-GAUDONVILLE,Navaid|ID:AGN|Frequency:114.8/95X|Range:100 NM |Magnetic declination:-0.12077|Aligned to true north:FALSE
3,41:46:14N,08:46:29E,628.0M,T,AJACCIO-COTI CHIAVARI,Navaid|ID:AJO|Frequency:114.8/95X|Range:200 NM |Magnetic declination:1.87235|Aligned to true north:FALSE
4,45:59:19N,05:19:53E,244.0M,T,AMBERIEU,Navaid|ID:AMU|Frequency:/110X|Range:120 NM |Magnetic declination:1.01494|Aligned to true north:FALSE
5,47:25:44N,01:03:52E,110.0M,T,AMBOISE,Navaid|ID:AMB|Frequency:113.7/84X|Range:80 NM |Magnetic declination:-0.30056|Aligned to true north:FALSE
6,47:25:05N,01:02:28E,106.0M,T,AMBOISE,Navaid|ID:AMB|Frequency:341/|Range:50 NM |Magnetic declination:-0.30598|Aligned to true north:FALSE
7,47:32:13N,00:51:07W,86.0M,T,ANGERS,Navaid|ID:ANG|Frequency:113/|Range:80 NM |Magnetic declination:-0.37491|Aligned to true north:FALSE
8,43:54:30N,04:54:19E,33.0M,T,AVIGNON CAUMONT,Navaid|ID:CM|Frequency:369/|Range:20 NM |Magnetic declination:0.96633|Aligned to true north:FALSE
9,43:59:43N,04:44:47E,44.0M,T,AVIGNON PUJAUT,Navaid|ID:AVN|Frequency:114.6/93X|Range:60 NM |Magnetic declination:0.92323|Aligned to true north:FALSE
10,47:03:29N,02:37:47E,169.0M,T,AVORD,Navaid|ID:AVD|Frequency:/43X|Range: NM |Magnetic declination:0.49525|Aligned to true north:FALSE
